id,question,answer,category,subcategory,difficulty,source,dataset_name,interview_type,language,tags,created_at
11,"Generate interview questions based on this resume and job description: Kafka, Terraform, React, Linux | Target Role: Seeking a Software Engineer position to develop high-quality, scalable software solutions using modern programming languages and development methodologies.",,nan,Computer Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
12,"Generate interview questions based on this resume and job description: AWS, Jenkins, Natural Language Processing, JavaScript, SQL, GraphQL, Linux | Target Role: Seeking a Product Manager position to drive product strategy, define roadmaps, and collaborate with engineering and design teams to deliver successful products.",,Product Manager,Electronics Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
13,"Generate interview questions based on this resume and job description: Cloud Computing, Computer Vision, Azure, Scrum, Node.js | Target Role: Targeting a Quantum Computing Specialist position to utilize my educational background and experience to drive results and achieve career objectives.",,Cloud Architect,Information Technology,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
14,"Generate interview questions based on this resume and job description: MongoDB, Ansible, Docker, Data Analysis | Target Role: Looking for an opportunity as a Blockchain Engineer to leverage my expertise in software engineering and make a meaningful impact in the industry.",,nan,Software Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
15,"Generate interview questions based on this resume and job description: Python, Agile, Azure, Computer Vision | Target Role: Seeking a challenging role as a Blockchain Engineer where I can apply my skills and knowledge to contribute to organizational success and professional growth.",,Blockchain Engineer,Artificial Intelligence,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
16,"Generate interview questions based on this resume and job description: Blockchain, Azure, JavaScript, Git, CI/CD | Target Role: Seeking a challenging role as a Quantum Computing Specialist where I can apply my skills and knowledge to contribute to organizational success and professional growth.",,nan,Electrical Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
17,"Generate interview questions based on this resume and job description: Kubernetes, TensorFlow, GraphQL, Java, Agile | Target Role: Seeking a challenging role as a Machine Learning Engineer where I can apply my skills and knowledge to contribute to organizational success and professional growth.",,Machine Learning Engineer,Robotics,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
18,"Generate interview questions based on this resume and job description: PyTorch, REST APIs, Agile, Data Analysis | Target Role: Seeking a Product Manager position to drive product strategy, define roadmaps, and collaborate with engineering and design teams to deliver successful products.",,Product Manager,Data Science,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
19,"Generate interview questions based on this resume and job description: Linux, Blockchain, Cloud Computing, AWS, Microservices, PyTorch | Target Role: Looking for an opportunity as a Site Reliability Engineer to leverage my expertise in electrical engineering and make a meaningful impact in the industry.",,Site Reliability Engineer,Electrical Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
20,"Generate interview questions based on this resume and job description: Git, GraphQL, Linux, REST APIs, Statistics, Azure, PyTorch, Kafka | Target Role: Looking for a UI/UX Designer position where I can combine creativity with analytical thinking to design user-centered interfaces that solve real problems.",,nan,Information Technology,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
21,"Generate interview questions based on this resume and job description: Solidity, Machine Learning, Cloud Computing, Penetration Testing, Kubernetes, SQL, Statistics | Target Role: Seeking a challenging role as a Mobile Applications Developer where I can apply my skills and knowledge to contribute to organizational success and professional growth.",,nan,Cybersecurity,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
22,"Generate interview questions based on this resume and job description: Microservices, Network Security, REST APIs, Natural Language Processing, Docker | Target Role: Looking for an opportunity as a Software Developer to leverage my expertise in electronics engineering and make a meaningful impact in the industry.",,Software Developer,Electronics Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
23,"Generate interview questions based on this resume and job description: Cloud Computing, Blockchain, Ansible, Solidity, Kubernetes, Penetration Testing, Jenkins | Target Role: Looking for an opportunity as a Prompt Engineer to leverage my expertise in electrical engineering and make a meaningful impact in the industry.",,nan,Electrical Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
24,"Generate interview questions based on this resume and job description: SQL, Azure, Docker, Deep Learning, Microservices, Jenkins, Machine Learning, Node.js | Target Role: Looking for an opportunity as a Prompt Engineer to leverage my expertise in cybersecurity and make a meaningful impact in the industry.",,nan,Cybersecurity,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
25,"Generate interview questions based on this resume and job description: Python, Scrum, Git, Microservices, GraphQL, Deep Learning, Network Security | Target Role: Looking for an opportunity as a Full-Stack Developer to leverage my expertise in electrical engineering and make a meaningful impact in the industry.",,nan,Electrical Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
26,"Generate interview questions based on this resume and job description: Terraform, Java, REST APIs, Kafka, SQL, Blockchain, Azure, Cybersecurity | Target Role: Looking for an opportunity as a Machine Learning Engineer to leverage my expertise in machine learning and make a meaningful impact in the industry.",,Machine Learning Engineer,Machine Learning,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
27,"Generate interview questions based on this resume and job description: Node.js, JavaScript, Java, Natural Language Processing, PyTorch | Target Role: Seeking a challenging role as a Big Data Engineer where I can apply my skills and knowledge to contribute to organizational success and professional growth.",,Big Data Engineer,Computer Science,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
28,"Generate interview questions based on this resume and job description: Kubernetes, Git, MongoDB, Kafka | Target Role: Targeting a Frontend Developer position to utilize my educational background and experience to drive results and achieve career objectives.",,Frontend Developer,Electrical Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
29,"Generate interview questions based on this resume and job description: Spark, AWS, Jenkins, JavaScript, Scrum, Blockchain | Target Role: Looking for a Cloud Engineer role where I can architect cloud solutions, automate deployments, and optimize cloud resources for performance and cost-efficiency.",,nan,Data Science,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
30,"Generate interview questions based on this resume and job description: Terraform, Penetration Testing, Cybersecurity, Blockchain, Data Analysis, Linux | Target Role: Seeking a challenging role as a MLOps Specialist where I can apply my skills and knowledge to contribute to organizational success and professional growth.",,MLOps Specialist,Software Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
31,"Generate interview questions based on this resume and job description: Spark, Data Analysis, Ansible, Python, DevOps, PyTorch | Target Role: Targeting a Prompt Engineer position to utilize my educational background and experience to drive results and achieve career objectives.",,Prompt Engineer,Computer Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
32,"Generate interview questions based on this resume and job description: Git, Kafka, CI/CD, Penetration Testing, Ansible | Target Role: Seeking a challenging role as a Full-Stack Developer where I can apply my skills and knowledge to contribute to organizational success and professional growth.",,Full-Stack Developer,Data Science,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
33,"Generate interview questions based on this resume and job description: PyTorch, Machine Learning, Penetration Testing, Data Analysis, Kafka | Target Role: Seeking a challenging role as a Frontend Developer where I can apply my skills and knowledge to contribute to organizational success and professional growth.",,Frontend Developer,Information Systems,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
34,"Generate interview questions based on this resume and job description: Python, Jenkins, Statistics, Penetration Testing | Target Role: Seeking a challenging role as a AI Ethics Officer where I can apply my skills and knowledge to contribute to organizational success and professional growth.",,nan,Electronics Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
35,"Generate interview questions based on this resume and job description: Jenkins, Git, SQL, Natural Language Processing, AWS | Target Role: Looking for an opportunity as a Machine Learning Engineer to leverage my expertise in computer science and make a meaningful impact in the industry.",,Site Reliability Engineer,Computer Science,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
36,"Generate interview questions based on this resume and job description: Computer Vision, SQL, Kubernetes, Natural Language Processing, TensorFlow | Target Role: Seeking a Software Engineer position to develop high-quality, scalable software solutions using modern programming languages and development methodologies.",,Software Engineer,Information Technology,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
37,"Generate interview questions based on this resume and job description: Computer Vision, Kafka, PyTorch, Blockchain, AWS | Target Role: Looking for an opportunity as a Backend Developer to leverage my expertise in information technology and make a meaningful impact in the industry.",,nan,Information Technology,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
38,"Generate interview questions based on this resume and job description: REST APIs, Data Analysis, Cloud Computing, Terraform, Network Security, Solidity | Target Role: Seeking a challenging role as a Frontend Developer where I can apply my skills and knowledge to contribute to organizational success and professional growth.",,Frontend Developer,Machine Learning,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
39,"Generate interview questions based on this resume and job description: JavaScript, TensorFlow, Penetration Testing, DevOps, Solidity, Data Analysis, Kafka, Blockchain | Target Role: Seeking a challenging role as a Blockchain Engineer where I can apply my skills and knowledge to contribute to organizational success and professional growth.",,nan,Electronics Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
40,"Generate interview questions based on this resume and job description: Cybersecurity, SQL, Linux, Computer Vision | Target Role: Looking for an opportunity as a Quantum Computing Specialist to leverage my expertise in artificial intelligence and make a meaningful impact in the industry.",,nan,Artificial Intelligence,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
41,"Generate interview questions based on this resume and job description: React, Machine Learning, Data Analysis, Ansible, Azure, Statistics, Solidity | Target Role: Targeting a Cybersecurity Engineer position to utilize my educational background and experience to drive results and achieve career objectives.",,nan,Machine Learning,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
42,"Generate interview questions based on this resume and job description: Network Security, Statistics, Cloud Computing, Data Analysis, GraphQL | Target Role: Looking for an opportunity as a Cybersecurity Engineer to leverage my expertise in information technology and make a meaningful impact in the industry.",,Blockchain Engineer,Information Technology,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
43,"Generate interview questions based on this resume and job description: Network Security, Docker, Solidity, Terraform, Penetration Testing, Scrum, Agile, Microservices | Target Role: Targeting a Software Developer position to utilize my educational background and experience to drive results and achieve career objectives.",,Software Developer,Computer Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
44,"Generate interview questions based on this resume and job description: Solidity, MongoDB, DevOps, Cybersecurity | Target Role: Looking for an opportunity as a Prompt Engineer to leverage my expertise in electrical engineering and make a meaningful impact in the industry.",,Prompt Engineer,Electrical Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
45,"Generate interview questions based on this resume and job description: Microservices, Linux, Network Security, Terraform, JavaScript, Node.js, Natural Language Processing, Statistics | Target Role: Looking for an opportunity as a Backend Developer to leverage my expertise in cybersecurity and make a meaningful impact in the industry.",,Data Scientist,Cybersecurity,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
46,"Generate interview questions based on this resume and job description: Jenkins, TensorFlow, Kubernetes, Kafka, SQL, Microservices, Natural Language Processing | Target Role: Looking for an opportunity as a MLOps Specialist to leverage my expertise in data science and make a meaningful impact in the industry.",,nan,Data Science,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
47,"Generate interview questions based on this resume and job description: Scrum, Kafka, Git, Blockchain, Computer Vision, Cybersecurity, Jenkins | Target Role: Targeting a Cybersecurity Analyst role to contribute to the development and maintenance of robust security frameworks, policies, and procedures.",,Cybersecurity Analyst,Software Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
48,"Generate interview questions based on this resume and job description: Network Security, Statistics, Deep Learning, Scrum, Jenkins, PyTorch, Computer Vision, Azure | Target Role: Targeting a Data Scientist position where I can utilize my expertise in Python, R, SQL, and machine learning algorithms to solve business challenges through data analysis and predictive modeling.",,nan,Robotics,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
49,"Generate interview questions based on this resume and job description: PyTorch, Azure, Terraform, CI/CD, DevOps | Target Role: Seeking a challenging role as a Site Reliability Engineer where I can apply my skills and knowledge to contribute to organizational success and professional growth.",,Mobile Applications Developer,Cybersecurity,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
50,"Generate interview questions based on this resume and job description: SQL, REST APIs, Python, Computer Vision, Terraform, AWS | Target Role: Targeting a Quantum Computing Specialist position to utilize my educational background and experience to drive results and achieve career objectives.",,Quantum Computing Specialist,Artificial Intelligence,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
51,"Generate interview questions based on this resume and job description: JavaScript, Git, Network Security, AWS, MongoDB | Target Role: Targeting a Cloud Engineer position to contribute to cloud migration projects and build resilient, scalable cloud-native applications.",,Cloud Engineer,Artificial Intelligence,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
52,"Generate interview questions based on this resume and job description: Machine Learning, Solidity, Kafka, Natural Language Processing, CI/CD, MongoDB | Target Role: Looking for an opportunity as a Data Scientist to work with large datasets, build predictive models, and communicate findings to stakeholders through compelling visualizations and reports.",,nan,Computer Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
53,"Generate interview questions based on this resume and job description: Natural Language Processing, Azure, Jenkins, Machine Learning, Node.js, Ansible | Target Role: Seeking a Data Scientist role to apply statistical analysis, machine learning, and data visualization techniques to extract meaningful insights from complex datasets and drive data-driven decision making.",,nan,Computer Science,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
54,"Generate interview questions based on this resume and job description: Scrum, Natural Language Processing, Kafka, Linux | Target Role: Targeting a Machine Learning Engineer position to utilize my educational background and experience to drive results and achieve career objectives.",,nan,Computer Science,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
55,"Generate interview questions based on this resume and job description: Kafka, MongoDB, Solidity, Cloud Computing, Deep Learning, JavaScript, Git, Cybersecurity | Target Role: Looking for an opportunity as a Big Data Engineer to leverage my expertise in machine learning and make a meaningful impact in the industry.",,Big Data Engineer,Machine Learning,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
56,"Generate interview questions based on this resume and job description: Kafka, Ansible, Linux, Microservices, DevOps, Statistics, Cybersecurity, Blockchain | Target Role: Targeting a Blockchain Engineer position to utilize my educational background and experience to drive results and achieve career objectives.",,nan,Software Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
57,"Generate interview questions based on this resume and job description: REST APIs, GraphQL, MongoDB, Linux, Blockchain, Ansible, Computer Vision | Target Role: Targeting a Prompt Engineer position to utilize my educational background and experience to drive results and achieve career objectives.",,Prompt Engineer,Artificial Intelligence,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
58,"Generate interview questions based on this resume and job description: AWS, GraphQL, Scrum, Blockchain, React, Statistics | Target Role: Looking for an opportunity as a Quantum Computing Specialist to leverage my expertise in information systems and make a meaningful impact in the industry.",,Big Data Engineer,Information Systems,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
59,"Generate interview questions based on this resume and job description: Java, Data Analysis, Spark, TensorFlow, Kafka, Git, Agile, Scrum | Target Role: Seeking a challenging role as a Cloud Architect where I can apply my skills and knowledge to contribute to organizational success and professional growth.",,Cloud Architect,Electrical Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
60,"Generate interview questions based on this resume and job description: Git, Linux, Jenkins, SQL, React, Docker | Target Role: Looking for a DevOps Engineer position where I can streamline software deployment processes, improve system reliability, and foster a culture of continuous integration and delivery.",,nan,Cybersecurity,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
61,"Generate interview questions based on this resume and job description: AWS, Scrum, Blockchain, Spark, Statistics, Network Security, Git, JavaScript | Target Role: Seeking a Software Engineer position to develop high-quality, scalable software solutions using modern programming languages and development methodologies.",,Blockchain Engineer,Computer Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
62,"Generate interview questions based on this resume and job description: Cloud Computing, Ansible, Scrum, Node.js, REST APIs | Target Role: Looking for an opportunity as a Quantum Computing Specialist to leverage my expertise in artificial intelligence and make a meaningful impact in the industry.",,Software Developer,Artificial Intelligence,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
63,"Generate interview questions based on this resume and job description: Linux, Kubernetes, Cybersecurity, CI/CD | Target Role: Looking for an opportunity as a Full-Stack Developer to leverage my expertise in information technology and make a meaningful impact in the industry.",,Full-Stack Developer,Information Technology,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
64,"Generate interview questions based on this resume and job description: AWS, DevOps, Cloud Computing, PyTorch, Scrum, Terraform, Docker, Natural Language Processing | Target Role: Targeting a Cybersecurity Analyst role to contribute to the development and maintenance of robust security frameworks, policies, and procedures.",,Cybersecurity Analyst,Software Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
65,"Generate interview questions based on this resume and job description: Linux, Spark, Docker, Solidity, Node.js, Penetration Testing, Ansible, Git | Target Role: Seeking a challenging role as a Backend Developer where I can apply my skills and knowledge to contribute to organizational success and professional growth.",,nan,Machine Learning,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
66,"Generate interview questions based on this resume and job description: Cloud Computing, Microservices, Cybersecurity, Ansible, JavaScript, Solidity, PyTorch, Linux | Target Role: Targeting a Cloud Architect position to utilize my educational background and experience to drive results and achieve career objectives.",,Cloud Architect,Information Technology,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
67,"Generate interview questions based on this resume and job description: Microservices, GraphQL, Agile, React, Jenkins, Node.js | Target Role: Looking for an opportunity as a Big Data Engineer to leverage my expertise in cybersecurity and make a meaningful impact in the industry.",,Cloud Architect,Cybersecurity,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
68,"Generate interview questions based on this resume and job description: Azure, SQL, Git, Ansible, Microservices, Agile, Spark | Target Role: Seeking a challenging role as a Cybersecurity Engineer where I can apply my skills and knowledge to contribute to organizational success and professional growth.",,Cybersecurity Engineer,Computer Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
69,"Generate interview questions based on this resume and job description: Statistics, MongoDB, Cloud Computing, Terraform | Target Role: Looking for an opportunity as a Machine Learning Engineer to leverage my expertise in software engineering and make a meaningful impact in the industry.",,nan,Software Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
70,"Generate interview questions based on this resume and job description: GraphQL, CI/CD, Natural Language Processing, Solidity | Target Role: Looking for an opportunity as a Mobile Applications Developer to leverage my expertise in software engineering and make a meaningful impact in the industry.",,Software Engineer,Software Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
71,"Generate interview questions based on this resume and job description: GraphQL, Kubernetes, PyTorch, Azure, Computer Vision, React, Penetration Testing, CI/CD | Target Role: Seeking a challenging role as a MLOps Specialist where I can apply my skills and knowledge to contribute to organizational success and professional growth.",,nan,Artificial Intelligence,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
72,"Generate interview questions based on this resume and job description: Scrum, Java, GraphQL, React, REST APIs, Cloud Computing, CI/CD | Target Role: Seeking a Product Manager position to drive product strategy, define roadmaps, and collaborate with engineering and design teams to deliver successful products.",,nan,Information Technology,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
73,"Generate interview questions based on this resume and job description: Penetration Testing, Solidity, Python, SQL, Java | Target Role: Seeking a challenging role as a AI Ethics Officer where I can apply my skills and knowledge to contribute to organizational success and professional growth.",,AI Ethics Officer,Computer Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
74,"Generate interview questions based on this resume and job description: Java, Cloud Computing, Jenkins, Natural Language Processing, Docker, Statistics, Blockchain, Python | Target Role: Looking for an opportunity as a Cloud Architect to leverage my expertise in machine learning and make a meaningful impact in the industry.",,Cloud Architect,Machine Learning,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
75,"Generate interview questions based on this resume and job description: Microservices, Penetration Testing, JavaScript, CI/CD | Target Role: Seeking a challenging role as a Quantum Computing Specialist where I can apply my skills and knowledge to contribute to organizational success and professional growth.",,Quantum Computing Specialist,Information Systems,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
76,"Generate interview questions based on this resume and job description: TensorFlow, Azure, Node.js, Cybersecurity, JavaScript, Statistics, PyTorch | Target Role: Seeking a challenging role as a Mobile Applications Developer where I can apply my skills and knowledge to contribute to organizational success and professional growth.",,Mobile Applications Developer,Electronics Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
77,"Generate interview questions based on this resume and job description: Data Analysis, AWS, CI/CD, Blockchain, REST APIs, Solidity | Target Role: Targeting a Cybersecurity Engineer position to utilize my educational background and experience to drive results and achieve career objectives.",,Cybersecurity Engineer,Computer Science,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
78,"Generate interview questions based on this resume and job description: Linux, MongoDB, SQL, Spark, Statistics, Git | Target Role: Targeting a Quantum Computing Specialist position to utilize my educational background and experience to drive results and achieve career objectives.",,nan,Software Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
79,"Generate interview questions based on this resume and job description: CI/CD, Cloud Computing, Kubernetes, Java, Docker, Solidity, JavaScript | Target Role: Targeting a Cybersecurity Analyst role to contribute to the development and maintenance of robust security frameworks, policies, and procedures.",,Cybersecurity Analyst,Computer Science,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
80,"Generate interview questions based on this resume and job description: CI/CD, REST APIs, Linux, Data Analysis, Natural Language Processing, AWS, Java, TensorFlow | Target Role: Seeking a challenging role as a Machine Learning Engineer where I can apply my skills and knowledge to contribute to organizational success and professional growth.",,Machine Learning Engineer,Electrical Engineering,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
81,"Generate interview questions based on this resume and job description: Scrum, Node.js, Ansible, Terraform, Statistics, Git | Target Role: Seeking a Cybersecurity Analyst position to protect organizational assets by implementing security measures, conducting vulnerability assessments, and responding to security incidents.",,nan,Machine Learning,Unknown,Kaggle,Resume Job Description,Resume-Based,English,"resume, job description, skills",2026-07-09 12:52:35
